case  HV_EMS HV_GRPHEFT HV_HMBR HV_MOELS HV_MOHEFT HV_RSGA2 IGD_EMS IGD_GRPHEFT IGD_HMBR IGD_MOELS IGD_MOHEFT IGD_RSGA2 CM_EMS,EMS CM_EMS,GRPHEFT CM_EMS,HMBR CM_EMS,MOELS CM_EMS,MOHEFT CM_EMS,RSGA2 CM_GRPHEFT,EMS CM_GRPHEFT,GRPHEFT CM_GRPHEFT,HMBR CM_GRPHEFT,MOELS CM_GRPHEFT,MOHEFT CM_GRPHEFT,RSGA2 CM_HMBR,EMS CM_HMBR,GRPHEFT CM_HMBR,HMBR CM_HMBR,MOELS CM_HMBR,MOHEFT CM_HMBR,RSGA2 CM_MOELS,EMS CM_MOELS,GRPHEFT CM_MOELS,HMBR CM_MOELS,MOELS CM_MOELS,MOHEFT CM_MOELS,RSGA2 CM_MOHEFT,EMS CM_MOHEFT,GRPHEFT CM_MOHEFT,HMBR CM_MOHEFT,MOELS CM_MOHEFT,MOHEFT CM_MOHEFT,RSGA2 CM_RSGA2,EMS CM_RSGA2,GRPHEFT CM_RSGA2,HMBR CM_RSGA2,MOELS CM_RSGA2,MOHEFT CM_RSGA2,RSGA2
Epigenomics_47_1.0  1764780.904 1708408.584 1738681.773 1774642.207 1660639.874 1775502.635 0.004 0.042 0.018 0.007 0.041 0.008 0.000 0.333 0.600 0.200 1.000 0.089 0.060 0.000 0.067 0.020 0.533 0.000 0.080 0.333 0.000 0.000 0.867 0.000 0.480 0.333 0.933 0.000 1.000 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.740 0.667 0.733 0.480 1.000 0.000
Epigenomics_47_1.0  1201173.083 1370430.037 1421567.883 1452410.668 1350344.229 1447782.420 0.082 0.043 0.019 0.004 0.039 0.004 0.000 0.000 0.133 0.020 0.000 0.000 0.879 0.000 0.067 0.000 0.533 0.000 0.879 0.000 0.000 0.000 0.933 0.000 0.970 0.500 0.933 0.000 1.000 0.289 0.909 0.000 0.000 0.000 0.000 0.000 0.909 0.000 0.667 0.380 1.000 0.000
Epigenomics_100_1.0  134776290.248 134367949.849 135970257.547 137005201.733 127424051.664 137109983.594 0.029 0.044 0.019 0.010 0.046 0.002 0.000 0.000 0.250 0.100 0.950 0.000 0.060 0.000 0.083 0.020 0.900 0.000 0.060 0.000 0.000 0.040 0.950 0.000 0.520 0.000 0.667 0.000 0.950 0.117 0.160 0.000 0.042 0.000 0.000 0.000 1.000 0.000 0.625 0.480 0.950 0.000
Epigenomics_100_1.0  135061304.968 134367949.849 135751192.462 136987517.132 127424051.664 137099813.041 0.015 0.047 0.020 0.009 0.048 0.001 0.000 0.000 0.286 0.320 0.950 0.033 0.080 0.000 0.095 0.020 0.900 0.033 0.040 0.000 0.000 0.040 0.950 0.017 0.440 0.000 0.571 0.000 0.950 0.200 0.080 0.000 0.048 0.000 0.000 0.000 0.880 0.500 0.571 0.660 1.000 0.000
Epigenomics_100_1.0  134205942.952 134367949.849 135824545.204 137000405.368 127424051.664 137115297.944 0.030 0.042 0.020 0.010 0.050 0.001 0.000 0.000 0.316 0.040 0.950 0.000 0.180 0.000 0.105 0.020 0.900 0.017 0.180 0.000 0.000 0.020 0.950 0.017 0.960 0.000 0.632 0.000 0.950 0.083 0.120 0.000 0.053 0.000 0.000 0.000 1.000 0.500 0.632 0.720 1.000 0.000
Epigenomics_100_1.0  146962371.099 147010694.544 147874412.019 149085907.719 139129416.028 149167432.481 0.015 0.042 0.023 0.011 0.048 0.004 0.000 0.000 0.227 0.100 0.950 0.017 0.160 0.000 0.091 0.040 0.900 0.033 0.140 0.333 0.000 0.020 0.950 0.033 0.760 0.000 0.727 0.000 0.950 0.150 0.020 0.000 0.045 0.000 0.000 0.000 0.940 0.333 0.545 0.420 0.950 0.000
Epigenomics_100_1.0  134988969.491 134367949.849 135944994.320 137030986.756 127424051.664 137113386.416 0.027 0.039 0.016 0.006 0.049 0.001 0.000 0.000 0.238 0.180 0.950 0.017 0.060 0.000 0.095 0.020 0.900 0.017 0.000 0.000 0.000 0.040 0.950 0.017 0.240 0.000 0.619 0.000 1.000 0.117 0.060 0.000 0.048 0.000 0.000 0.000 0.620 0.000 0.571 0.560 1.000 0.000
Inspiral_30_1.0  55635.997 34002.207 57854.974 60110.916 55923.051 59627.422 0.049 0.152 0.049 0.018 0.061 0.037 0.000 1.000 0.000 0.022 0.154 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.861 1.000 0.000 0.000 0.615 0.000 0.917 1.000 1.000 0.000 1.000 0.359 0.722 1.000 0.000 0.000 0.000 0.000 0.889 1.000 1.000 0.609 1.000 0.000
Inspiral_30_1.0  57403.909 34231.699 58354.504 60439.488 56265.715 59618.701 0.037 0.136 0.030 0.011 0.043 0.015 0.000 1.000 0.095 0.023 0.462 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.781 1.000 0.000 0.000 0.923 0.000 0.969 1.000 0.905 0.000 1.000 0.410 0.281 1.000 0.000 0.000 0.000 0.000 0.906 1.000 0.952 0.477 1.000 0.000
Inspiral_30_1.0  68207.378 49848.177 72370.310 74189.182 70444.474 74126.223 0.052 0.152 0.028 0.019 0.051 0.018 0.000 0.333 0.045 0.000 0.000 0.000 0.050 0.000 0.045 0.000 0.000 0.000 0.925 0.667 0.000 0.000 0.769 0.000 0.950 1.000 1.000 0.000 1.000 0.128 0.875 0.667 0.045 0.000 0.000 0.000 0.950 0.667 0.955 0.816 1.000 0.000
Inspiral_30_1.0  55107.828 34004.423 57900.795 59949.583 55926.359 59444.959 0.055 0.133 0.031 0.011 0.044 0.015 0.000 1.000 0.000 0.021 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.880 1.000 0.000 0.000 0.692 0.000 0.960 1.000 1.000 0.000 1.000 0.205 0.840 1.000 0.053 0.000 0.000 0.000 0.920 1.000 1.000 0.702 1.000 0.000
Inspiral_30_1.0  56087.315 34064.769 57991.637 60017.689 56016.465 59605.556 0.040 0.141 0.036 0.015 0.052 0.033 0.000 1.000 0.000 0.041 0.077 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.900 1.000 0.000 0.000 0.769 0.000 0.960 1.000 1.000 0.000 1.000 0.000 0.620 1.000 0.000 0.000 0.000 0.000 0.920 1.000 1.000 0.816 1.000 0.000
Inspiral_50_1.0  187550.894 117670.017 193791.654 200373.866 191817.973 200346.452 0.038 0.144 0.026 0.005 0.052 0.045 0.000 1.000 0.107 0.020 0.067 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.531 1.000 0.000 0.000 0.267 0.000 0.906 1.000 1.000 0.000 1.000 0.311 0.656 1.000 0.250 0.000 0.000 0.000 0.875 1.000 1.000 0.560 1.000 0.000
Inspiral_50_1.0  217736.554 143675.344 219854.555 226146.987 217304.051 226421.982 0.033 0.110 0.020 0.011 0.031 0.008 0.000 0.500 0.115 0.080 0.333 0.044 0.000 0.000 0.000 0.000 0.000 0.000 0.780 1.000 0.000 0.000 0.267 0.000 0.960 1.000 0.808 0.000 1.000 0.200 0.640 0.500 0.231 0.000 0.000 0.000 0.960 1.000 0.962 0.660 1.000 0.000
Inspiral_50_1.0  180566.633 109985.248 182841.804 189349.202 181089.975 189378.215 0.036 0.130 0.029 0.009 0.035 0.009 0.000 1.000 0.077 0.040 0.333 0.067 0.000 0.000 0.000 0.000 0.000 0.000 0.700 1.000 0.000 0.000 0.267 0.000 0.940 1.000 0.808 0.000 1.000 0.111 0.600 1.000 0.231 0.000 0.000 0.000 0.900 1.000 1.000 0.680 1.000 0.000
Inspiral_50_1.0  183578.140 123144.377 192577.547 199229.922 190456.633 200397.432 0.051 0.110 0.022 0.006 0.027 0.001 0.000 0.500 0.062 0.040 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.820 1.000 0.000 0.000 0.267 0.000 0.960 1.000 0.906 0.000 1.000 0.333 0.880 0.500 0.156 0.000 0.000 0.000 1.000 1.000 1.000 0.640 1.000 0.000
Inspiral_50_1.0  174216.371 105474.252 177640.711 184373.780 176254.927 185205.511 0.040 0.114 0.018 0.009 0.030 0.001 0.000 1.000 0.083 0.040 0.200 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.705 1.000 0.000 0.000 0.267 0.000 0.955 1.000 0.917 0.000 1.000 0.333 0.591 1.000 0.250 0.000 0.000 0.000 1.000 1.000 1.000 0.640 1.000 0.000
Inspiral_100_1.0  668494.402 476000.070 717145.368 743588.556 722092.415 742988.585 0.059 0.128 0.025 0.011 0.060 0.020 0.000 0.000 0.071 0.060 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.000 0.000 0.000 0.850 0.000 0.920 1.000 0.857 0.000 1.000 0.517 0.860 0.500 0.071 0.000 0.000 0.000 0.920 1.000 1.000 0.400 0.950 0.000
Inspiral_100_1.0  669812.964 441206.462 683060.336 708452.845 687396.907 709241.323 0.042 0.129 0.032 0.010 0.055 0.024 0.000 0.500 0.062 0.080 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.739 1.000 0.000 0.000 0.800 0.000 0.891 1.000 0.844 0.000 1.000 0.450 0.826 0.500 0.000 0.000 0.000 0.000 0.913 1.000 1.000 0.420 1.000 0.000
Inspiral_100_1.0  705842.851 466441.412 713596.590 735583.007 715277.226 738415.381 0.033 0.121 0.023 0.020 0.058 0.010 0.000 0.500 0.032 0.060 0.050 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.620 1.000 0.000 0.000 0.750 0.017 0.920 1.000 0.903 0.000 1.000 0.600 0.820 0.500 0.032 0.000 0.000 0.000 0.960 1.000 0.903 0.320 1.000 0.000
Inspiral_100_1.0  712734.565 492154.245 732921.972 762032.444 738201.044 759862.341 0.047 0.115 0.023 0.026 0.045 0.022 0.000 0.500 0.061 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.620 1.000 0.000 0.000 0.800 0.000 0.940 1.000 0.848 0.000 1.000 0.533 0.780 0.500 0.030 0.000 0.000 0.000 0.900 1.000 0.970 0.380 1.000 0.000
Inspiral_100_1.0  709117.046 469547.984 714317.347 739992.168 718375.039 743373.682 0.036 0.121 0.028 0.017 0.046 0.011 0.000 0.500 0.065 0.060 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.543 1.000 0.000 0.000 0.700 0.000 0.914 1.000 0.742 0.000 1.000 0.450 0.800 0.500 0.097 0.000 0.000 0.000 0.971 1.000 0.968 0.400 1.000 0.000
Montage_25_1.0  1780.125 1700.528 1782.564 1802.181 1746.271 1810.700 0.032 0.042 0.035 0.007 0.069 0.006 0.000 0.000 0.200 0.000 0.000 0.000 0.750 0.000 0.333 0.087 0.600 0.115 0.750 0.231 0.000 0.000 0.500 0.115 0.893 0.846 0.867 0.000 1.000 0.731 0.643 0.077 0.333 0.000 0.000 0.115 0.964 0.692 0.800 0.130 0.800 0.000
Montage_25_1.0  1781.748 1700.528 1782.524 1809.460 1746.271 1807.347 0.027 0.045 0.037 0.014 0.071 0.009 0.000 0.000 0.267 0.042 0.000 0.036 0.682 0.000 0.333 0.042 0.600 0.214 0.591 0.154 0.000 0.000 0.500 0.036 0.864 0.923 1.000 0.000 0.900 0.750 0.545 0.077 0.333 0.042 0.000 0.143 0.909 0.462 0.800 0.083 0.700 0.000
Montage_25_1.0  1785.429 1700.528 1775.971 1798.273 1746.271 1807.284 0.028 0.049 0.036 0.031 0.078 0.006 0.000 0.000 0.333 0.043 0.100 0.074 0.679 0.000 0.333 0.043 0.600 0.222 0.571 0.231 0.000 0.043 0.500 0.037 0.857 0.846 0.933 0.000 1.000 0.667 0.607 0.077 0.400 0.000 0.000 0.259 0.857 0.615 0.933 0.174 0.600 0.000
Montage_25_1.0  1782.496 1700.528 1774.658 1798.452 1746.271 1795.765 0.022 0.045 0.028 0.023 0.078 0.024 0.000 0.000 0.143 0.000 0.100 0.043 0.750 0.000 0.214 0.043 0.600 0.087 0.656 0.308 0.000 0.000 0.500 0.130 0.938 0.923 1.000 0.000 0.900 0.696 0.688 0.077 0.214 0.043 0.000 0.087 0.906 0.769 0.714 0.130 0.800 0.000
Montage_25_1.0  1786.992 1700.528 1773.349 1798.027 1746.271 1794.442 0.020 0.045 0.031 0.035 0.076 0.028 0.000 0.000 0.389 0.100 0.100 0.143 0.710 0.000 0.222 0.050 0.600 0.143 0.645 0.385 0.000 0.000 0.500 0.048 0.903 0.846 0.889 0.000 0.900 0.714 0.613 0.077 0.333 0.000 0.000 0.238 0.774 0.538 0.778 0.050 0.700 0.000
Montage_50_1.0  13254.631 13094.845 13275.611 13390.316 13157.992 13446.720 0.022 0.021 0.034 0.004 0.034 0.004 0.000 0.062 0.231 0.000 0.067 0.000 0.780 0.000 0.577 0.260 0.733 0.244 0.640 0.125 0.000 0.060 0.400 0.022 0.820 0.344 0.885 0.000 0.867 0.267 0.600 0.000 0.231 0.060 0.000 0.000 1.000 0.375 0.885 0.420 1.000 0.000
Montage_50_1.0  13206.297 13095.515 13281.273 13354.787 13157.992 13439.301 0.023 0.029 0.034 0.010 0.042 0.006 0.000 0.000 0.154 0.040 0.000 0.000 0.860 0.000 0.346 0.360 0.733 0.533 0.820 0.156 0.000 0.100 0.467 0.089 0.940 0.469 0.731 0.000 0.733 0.556 0.760 0.000 0.115 0.080 0.000 0.044 1.000 0.219 0.500 0.220 0.733 0.000
Montage_50_1.0  13235.677 13095.515 13282.344 13342.336 13157.992 13421.760 0.026 0.033 0.034 0.024 0.042 0.007 0.000 0.000 0.200 0.020 0.000 0.000 0.860 0.000 0.520 0.100 0.733 0.511 0.820 0.125 0.000 0.040 0.400 0.133 0.860 0.594 0.840 0.000 0.933 0.600 0.740 0.000 0.120 0.000 0.000 0.067 1.000 0.219 0.520 0.060 0.800 0.000
Montage_50_1.0  13243.791 13094.845 13276.762 13362.737 13157.992 13378.651 0.021 0.048 0.045 0.016 0.059 0.013 0.000 0.000 0.240 0.040 0.000 0.000 0.860 0.000 0.440 0.240 0.733 0.467 0.760 0.125 0.000 0.080 0.400 0.067 0.920 0.531 0.760 0.000 0.800 0.489 0.680 0.000 0.160 0.040 0.000 0.022 0.960 0.219 0.640 0.320 0.800 0.000
Montage_50_1.0  13246.753 13095.515 13286.609 13379.666 13157.992 13440.466 0.023 0.038 0.037 0.013 0.050 0.005 0.000 0.000 0.267 0.000 0.000 0.000 0.860 0.000 0.600 0.300 0.733 0.489 0.740 0.125 0.000 0.040 0.400 0.044 0.940 0.375 0.833 0.000 0.867 0.378 0.700 0.000 0.267 0.020 0.000 0.022 1.000 0.219 0.667 0.300 0.800 0.000
Montage_100_1.0  63414.136 62005.924 63669.515 63938.883 63492.644 64353.467 0.021 0.029 0.037 0.011 0.105 0.004 0.000 0.000 0.036 0.040 0.000 0.000 0.800 0.000 0.429 0.600 0.750 0.567 0.840 0.030 0.000 0.260 0.550 0.067 0.860 0.061 0.607 0.000 0.900 0.267 0.660 0.000 0.179 0.020 0.000 0.033 1.000 0.045 0.679 0.540 0.900 0.000
Montage_100_1.0  63392.487 62005.924 63711.370 63947.338 63492.644 64358.329 0.021 0.023 0.031 0.045 0.096 0.004 0.000 0.000 0.038 0.020 0.000 0.000 0.800 0.000 0.462 0.580 0.750 0.517 0.880 0.030 0.000 0.100 0.700 0.067 0.740 0.076 0.462 0.000 0.850 0.350 0.680 0.000 0.154 0.020 0.000 0.017 1.000 0.076 0.577 0.200 0.850 0.000
Montage_100_1.0  63430.483 61717.913 63717.249 64087.122 63492.644 64331.464 0.021 0.026 0.037 0.044 0.098 0.005 0.000 0.000 0.042 0.020 0.050 0.000 0.760 0.000 0.417 0.440 0.750 0.508 0.760 0.030 0.000 0.140 0.700 0.068 0.640 0.121 0.375 0.000 0.950 0.288 0.560 0.000 0.167 0.000 0.000 0.000 1.000 0.152 0.583 0.380 0.850 0.000
Montage_100_1.0  63426.283 61717.913 63700.522 63961.211 63492.644 64320.540 0.022 0.029 0.031 0.010 0.094 0.005 0.000 0.000 0.037 0.020 0.050 0.000 0.800 0.000 0.481 0.680 0.750 0.583 0.820 0.030 0.000 0.280 0.600 0.100 0.880 0.030 0.556 0.000 0.950 0.250 0.640 0.000 0.185 0.000 0.000 0.067 1.000 0.045 0.556 0.600 0.900 0.000
Montage_100_1.0  63396.738 61717.913 63677.911 63917.373 63492.644 64317.845 0.022 0.029 0.035 0.011 0.098 0.005 0.000 0.000 0.103 0.020 0.050 0.000 0.760 0.000 0.448 0.700 0.750 0.583 0.760 0.030 0.000 0.200 0.550 0.017 0.860 0.030 0.552 0.000 0.850 0.267 0.640 0.000 0.207 0.020 0.000 0.000 1.000 0.076 0.621 0.500 0.850 0.000
